Feature ID,Sample name,AA amplicon number,Classification,Oncogenes,AA cycles file,AA graph file,All genes,Captured interval length,Complexity score,Feature maximum copy number,Feature median copy number,Filter flag,Location,Reference version,Sample type,Tissue of origin
DO1001-SP2144_amplicon1_Linear_1,DO1001-SP2144,1,Linear,,samples/DO1001-SP2144/DO1001-SP2144_AA_results/DO1001-SP2144_amplicon1_cycles.txt,samples/DO1001-SP2144/DO1001-SP2144_AA_results/DO1001-SP2144_amplicon1_graph.txt,PDE4B,157015.0,0.6091866899832962,4.792632792634564,4.792632792634564,LowCN,1:66731585-66888600,GRCh37,NA,NA
DO1001-SP2144_amplicon2_Linear_1,DO1001-SP2144,2,Linear,,samples/DO1001-SP2144/DO1001-SP2144_AA_results/DO1001-SP2144_amplicon2_cycles.txt,samples/DO1001-SP2144/DO1001-SP2144_AA_results/DO1001-SP2144_amplicon2_graph.txt,,108778.0,0.9454222573371382,6.932607996425095,6.932607996425095,None,8:128638372-128747150,GRCh37,NA,NA
DO10840-SP23498_amplicon1_BFB_1,DO10840-SP23498,1,BFB,,samples/DO10840-SP23498/DO10840-SP23498_AA_results/DO10840-SP23498_amplicon1_cycles.txt,samples/DO10840-SP23498/DO10840-SP23498_AA_results/DO10840-SP23498_amplicon1_graph.txt,HMCN1,459835.0,0.7776137117213607,8.01451044021448,4.758488140361228,None,1:185521504-185759868; 1:188600699-188822170,GRCh37,NA,NA
DO10840-SP23498_amplicon2_BFB_1,DO10840-SP23498,2,BFB,ROCK1,samples/DO10840-SP23498/DO10840-SP23498_AA_results/DO10840-SP23498_amplicon2_cycles.txt,samples/DO10840-SP23498/DO10840-SP23498_AA_results/DO10840-SP23498_amplicon2_graph.txt,CTAGE1; ROCK1,741666.0,1.2045836098326643,11.118990535172994,8.046562921264151,None,18:18618287-18705586; 18:19834946-20489313,GRCh37,NA,NA
DO218168-SP117363_amplicon1_Complex-non-cyclic_1,DO218168-SP117363,1,Complex-non-cyclic,,samples/DO218168-SP117363/DO218168-SP117363_AA_results/DO218168-SP117363_amplicon1_cycles.txt,samples/DO218168-SP117363/DO218168-SP117363_AA_results/DO218168-SP117363_amplicon1_graph.txt,,316144.0,0.9824089251931459,5.581307475763585,5.143972219897819,None,5:44455359-44771503,GRCh37,NA,NA
DO218168-SP117363_amplicon2_Complex-non-cyclic_1,DO218168-SP117363,2,Complex-non-cyclic,CCND1,samples/DO218168-SP117363/DO218168-SP117363_AA_results/DO218168-SP117363_amplicon2_cycles.txt,samples/DO218168-SP117363/DO218168-SP117363_AA_results/DO218168-SP117363_amplicon2_graph.txt,ACY3; AIP; ALDH3B1; ALDH3B2; C11orf24; C11orf75; C11orf82; CABP2; CABP4; CARNS1; CCDC67; CCND1; CDK2AP2; CHKA; CLCF1; CORO1B; CPT1A; DLG2; DOC2GP; FAT3; FGF19; GAL; GPR152; GSTP1; IGHMBP2; LRP5; MRGPRD; MRGPRF; MRPL21; MTL5; MTNR1B; MYEOV; NDUFS8; NDUFV1; NUDT8; ODZ4; ORAOV1; PITPNM1; POLD4; PPP1CA; PPP6R3; PRCP; PTPRCAP; RAB30; RAD9A; RPS6KB2; SLC36A4; SUV420H1; TBC1D10C; TBX10; TCIRG1; TMEM134; TMEM135; TPCN2; UNC93B1,4232613.0,2.0418914849176586,6.620698829769933,4.956302894250991,None,11:67113050-67178134; 11:67178162-68401530; 11:68406868-68411359; 11:68411860-69089700; 11:69139800-69400843; 11:69401431-69561141; 11:78691518-78922290; 11:81487138-81495632; 11:81496032-81496482; 11:81504168-81506804; 11:82476962-82707734; 11:83187289-83408061; 11:83465823-83525651; 11:83670081-83680853; 11:83936171-83982177; 11:83982576-84116944; 11:85172293-85191816; 11:85192293-85198039; 11:85198646-85223065; 11:86862089-86864668; 11:92453199-92522301; 11:92522620-92869804; 11:92875850-93303504,GRCh37,NA,NA
DO218168-SP117363_amplicon3_Linear_1,DO218168-SP117363,3,Linear,,samples/DO218168-SP117363/DO218168-SP117363_AA_results/DO218168-SP117363_amplicon3_cycles.txt,samples/DO218168-SP117363/DO218168-SP117363_AA_results/DO218168-SP117363_amplicon3_graph.txt,NAALAD2,56358.0,0.9340004890861313,6.08179399445029,5.440684524627506,None,11:84159423-84200196; 11:89880275-89895860,GRCh37,NA,NA
DO218168-SP117363_amplicon4_ecDNA_1,DO218168-SP117363,4,ecDNA,RUNX1,samples/DO218168-SP117363/DO218168-SP117363_AA_results/DO218168-SP117363_amplicon4_cycles.txt,samples/DO218168-SP117363/DO218168-SP117363_AA_results/DO218168-SP117363_amplicon4_graph.txt,RUNX1,101618.0,1.4166855485902357,10.813145404582531,7.85340862897268,None,21:36150515-36252133,GRCh37,NA,NA
DO48727-SP107091_NA,DO48727-SP107091,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO48509-SP106638_NA,DO48509-SP106638,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO45073-SP98877_NA,DO45073-SP98877,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO48674-SP106998_NA,DO48674-SP106998,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO48969-SP107552_NA,DO48969-SP107552,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO47060-SP103428_NA,DO47060-SP103428,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO16999-SP35849_NA,DO16999-SP35849,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO47068-SP103444_NA,DO47068-SP103444,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO46763-SP102547_NA,DO46763-SP102547,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO35967-SP79270_NA,DO35967-SP79270,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO218254-SP117454_amplicon1_ecDNA_1,DO218254-SP117454,1,ecDNA,E2F3; SOX4,samples/DO218254-SP117454/DO218254-SP117454_AA_results/DO218254-SP117454_amplicon1_cycles.txt,samples/DO218254-SP117454/DO218254-SP117454_AA_results/DO218254-SP117454_amplicon1_graph.txt,CDKAL1; E2F3; FLJ22536; ID4; MBOAT1; PRL; SOX4,3157497.0,0.6567979103917442,5.771393910052804,5.547475518906641,LowCN,6:19400118-19765125; 6:19771185-22052770; 6:22053727-22564632,GRCh37,NA,NA
DO218254-SP117454_amplicon2_ecDNA_1,DO218254-SP117454,2,ecDNA,CYP24A1; SALL4; ZNF217,samples/DO218254-SP117454/DO218254-SP117454_AA_results/DO218254-SP117454_amplicon2_cycles.txt,samples/DO218254-SP117454/DO218254-SP117454_AA_results/DO218254-SP117454_amplicon2_graph.txt,ADNP; ATP9A; BCAS1; BCAS4; CEBPB; CYP24A1; DPM1; FAM65C; KCNG1; MOCS3; NFATC2; PARD6B; PFDN4; PTPN1; SALL4; SUMO1P1; TMEM189; TMEM189-UBE2V1; TSHZ2; ZFP64; ZNF217,4215191.0,0.4160261709759417,7.277972696025025,6.221051818798227,None,20:48731374-52647070; 20:52658002-52957497,GRCh37,NA,NA
DO220879-SP124386_NA,DO220879-SP124386,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO47331-SP104056_NA,DO47331-SP104056,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO52684-SP116690_NA,DO52684-SP116690,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO22935-SP49334_NA,DO22935-SP49334,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO36065-SP79368_NA,DO36065-SP79368,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO51118-SP112923_NA,DO51118-SP112923,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO26769-SP57189_NA,DO26769-SP57189,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO219975-SP121870_NA,DO219975-SP121870,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO51110-SP112907_NA,DO51110-SP112907,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
DO46945-SP103100_NA,DO46945-SP103100,NA,NA,,Not Provided,Not Provided,,NA,NA,NA,NA,NA,,GRCh37,NA,NA
